,AAPL.O mean ret,MSFT.O mean ret,INTC.O mean ret,AMZN.O mean ret,GS.N mean ret,AAPL.O ret,MSFT.O ret,INTC.O ret,AMZN.O ret,GS.N ret,AAPL.O improvs,MSFT.O improvs,INTC.O improvs,AMZN.O improvs,GS.N improvs,AAPL.O falses,MSFT.O falses,INTC.O falses,AMZN.O falses,GS.N falses,AAPL.O falses,MSFT.O falses,INTC.O falses,AMZN.O falses,GS.N falses,AAPL.O f1 mean,MSFT.O f1 mean,INTC.O f1 mean,AMZN.O f1 mean,GS.N f1 mean,AAPL.O f1 std,MSFT.O f1 std,INTC.O f1 std,AMZN.O f1 std,GS.N f1 std
sma_feat rsi_feat ,-0.17187467847727966,-0.20843559770874315,-0.04711540983581404,-0.14089054076333452,-0.01720392111294897,0.4374982776193694,0.35686603906373526,0.2810647472000626,0.37886240684135214,0.35192218158309657,331.0,271.0,437.0,350.0,459.0,189.67032967032966,192.84415584415584,187.979020979021,183.44755244755245,189.8911088911089,9.474766951815175,9.322214775024674,9.342299472857798,9.17962398486433,9.446646540922917,0.6037769024659414,0.6155466995373439,0.6589171313070968,0.6814061772356789,0.6322490386345365,0.026650232553379425,0.026011628111150733,0.0250452516579711,0.022153749638573847,0.02566427191689114
sma_feat MACD_feat,-0.1670349050648674,-0.1774719398618266,-0.043801526928009364,-0.12260578860398595,-0.010877755824109636,0.42353442462539637,0.3279423344841945,0.268787656995964,0.33789159975903904,0.3465007838350856,336.0,294.0,426.0,366.0,460.0,189.54145854145855,193.65134865134866,187.86013986013987,183.92607392607394,190.03496503496504,9.601485794944937,9.204635825458872,9.343790428965086,8.951454042250868,9.289767285770735,0.6041795953016332,0.6147814733940951,0.6596460244747192,0.6807147210079759,0.6324868841508546,0.02707818176358236,0.02522083187709337,0.02467874894808498,0.021418538896693158,0.025467648804886407
lag_feat rsi_feat ,-0.16597213475772066,-0.20610963476541072,-0.06926374889582357,-0.13413277009865235,-0.032830573192699004,0.4211380933981414,0.34867234709240136,0.2680230480913923,0.3552994590771367,0.3560305457754475,352.0,266.0,387.0,355.0,460.0,189.5054945054945,193.5994005994006,188.56543456543457,183.35564435564436,190.3126873126873,9.517784394501644,9.325575566170675,9.422524292139764,8.989849309604152,9.410160937578533,0.6042092312434385,0.6136632500860688,0.6575663910794217,0.6813820456776196,0.6316026378738906,0.026650845381751498,0.02618955405248102,0.025588529317133298,0.022153516782791226,0.025510687054959718
lag_feat MACD_feat,-0.14480511064063076,-0.19264376224387095,-0.0448307779160573,-0.11805442312400091,-0.022730046911132267,0.4450670694264591,0.3433565367469264,0.27126334327249,0.36141275500597886,0.3567010605959301,364.0,269.0,433.0,376.0,443.0,189.28871128871128,194.12287712287713,187.83616383616385,183.14485514485514,189.93906093906094,9.879653963452476,9.455257062284769,9.26440126878854,9.078435768566964,9.42365548591855,0.6052506516031754,0.6129783719379714,0.659595286799741,0.6820846068096346,0.6331501250043697,0.027912664355666632,0.026912412319236544,0.024365934183209616,0.021988125475567884,0.025707793653177633
rsi_feat MACD_feat,-0.16577930362823481,-0.17880407545581814,-0.060150641307430065,-0.12961023963861684,-0.013918271352184463,0.43666101718975775,0.3478284295597381,0.2912912670743408,0.3627501612635196,0.33377881111131075,333.0,290.0,426.0,373.0,461.0,189.71428571428572,193.69530469530469,188.08191808191808,183.2927072927073,189.96303696303696,9.673897131677895,9.691546209561615,9.613910896054865,9.034115162163744,9.285129636555022,0.603133981551807,0.6133610117343897,0.6589154934290599,0.6817378712682156,0.6319446345216244,0.02811361658595625,0.02725201083904358,0.026157716722705074,0.022142853419008957,0.02599287485216728
ma_feat sma_feat lag_feat ,-0.15541725484118687,-0.1777206048735078,-0.06536283800397258,-0.11871029323104873,-0.030493422818726926,0.45643525796270623,0.35608076204064953,0.27316669476990757,0.37456264555662777,0.350622742653928,376.0,306.0,415.0,372.0,450.0,189.37362637362637,193.4115884115884,188.43156843156842,182.78421578421577,190.43756243756243,9.392777211041688,9.64450234975478,9.194431055675086,9.002632426651141,9.456762006751976,0.6039750650379208,0.6144596693611479,0.6581920147069382,0.6828497095948171,0.6311575968353765,0.027524681307245308,0.02755203582770325,0.025091813700912076,0.021891206480266948,0.025337336979291813
ma_feat sma_feat rsi_feat ,-0.14053795859881096,-0.1908937142129229,-0.05642212211364069,-0.12953576328854374,-0.030646998369671403,0.44407563079938744,0.3407060473229478,0.2654285758727937,0.3599687819765336,0.3488496722171809,341.0,294.0,428.0,345.0,442.0,189.15784215784217,193.1848151848152,187.9100899100899,183.12087912087912,189.74825174825176,9.677347825673158,9.44916976198486,9.140563882600903,9.090895094894323,9.189372091745954,0.6044993195716963,0.614700983705559,0.6590644679990627,0.6824385128898134,0.6330955711589659,0.027091177122090346,0.0263729182909918,0.024709752633007204,0.02201811669170509,0.02456066060058089
ma_feat sma_feat MACD_feat,-0.17465474916184087,-0.1851185943753561,-0.06235634983786987,-0.13532027687653198,-0.007969495177561245,0.4407921801967157,0.37364476008696673,0.2742290446164171,0.34341514653184735,0.3632600524623264,328.0,282.0,415.0,357.0,469.0,189.82017982017982,193.66433566433565,188.57842157842157,183.2957042957043,190.03896103896105,9.493557413721808,9.651384190012163,9.571838585459629,8.67331952187117,9.51228051097534,0.603029500946264,0.6135119484881323,0.6573420077214479,0.6814322847797198,0.6316470692015982,0.026944103884027855,0.02654138411119848,0.026080427798336216,0.021696170199334924,0.025718374386647626
ma_feat lag_feat rsi_feat ,-0.15684080305845385,-0.19437030780602949,-0.05322616946118956,-0.12267526927942195,-0.01796634770724532,0.44494139866649596,0.35243304755485516,0.27433492060624737,0.345168191922364,0.3515035924660221,351.0,283.0,417.0,342.0,480.0,189.77422577422578,194.1908091908092,188.45354645354647,183.1048951048951,189.76723276723277,9.831631351153026,9.51580555941302,9.89727689367585,8.924684084828208,9.487294937692468,0.6024659934920259,0.6121899080444956,0.65719341647759,0.6821489210082748,0.6324435016380467,0.02836366110057374,0.027489337597163578,0.026896830804590925,0.02192785346317405,0.026845252447611795
ma_feat lag_feat MACD_feat,-0.16686794466479227,-0.17974411434464213,-0.05628356955243346,-0.12877562638434076,-0.016108578803596205,0.4292079854475395,0.32781046319115603,0.2644793370083694,0.3684971586844958,0.3496721132454744,333.0,283.0,408.0,341.0,457.0,189.63836163836163,194.0979020979021,188.53446553446554,183.56643356643357,189.97102897102897,9.534311035050553,9.110016772454683,9.66504324558669,9.508829169137082,9.249224823743875,0.6031769087225543,0.6119601699222286,0.6577520497692863,0.6810595847423737,0.6320320018273234,0.02800712748756556,0.02642825375534563,0.02650345657183029,0.02310973226261417,0.025637010305305373
